street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,raw_gap,m_i,weight_eta,W_FPG
长寿路街道,146.0,149,31.0,149.0,0.9798657718120806,0.2080536912751678,0.7718120805369127,0.7718120805369127,0.010148803400524665,0.007832969067519038
长征镇,1251.0,1361,52.0,249.0,0.9191770756796473,0.20883534136546184,0.7103417343141856,0.7103417343141856,0.09325927449130773,0.06624595478303823
长桥街道,388.0,437,0.0,16.0,0.8878718535469108,0.0,0.8878718535469108,0.8878718535469108,0.02989782623397807,0.026545438395385562
长白新村街道,560.0,599,0.0,3.0,0.9348914858096828,0.0,0.9348914858096828,0.9348914858096828,0.04100665157779561,0.03833676942164531
长风新村街道,736.0,778,58.0,68.0,0.9460154241645244,0.8529411764705882,0.09307424769393624,0.09307424769393624,0.05328121785275449,0.004959109267861849
陆家嘴街道,575.0,604,42.0,129.0,0.9519867549668874,0.32558139534883723,0.6264053596180502,0.6264053596180502,0.04134951655754306,0.025901558789260284
陈家镇,257.0,539,8.0,19.0,0.47680890538033394,0.42105263157894735,0.05575627380138659,0.05575627380138659,0.03689227182082615,0.0020569756087971615
青村镇,53.0,215,76.0,124.0,0.24651162790697675,0.6129032258064516,-0.36639159789947484,0.36639159789947484,0.01467462113319107,-0.005376657885559279
静安寺街道,303.0,315,3.0,19.0,0.9619047619047619,0.15789473684210525,0.8040100250626567,0.8040100250626567,0.02153192072814017,0.017311880124279116
顾村镇,3932.0,4547,329.0,1042.0,0.8647459863646361,0.31573896353166986,0.5490070228329662,0.5490070228329662,0.311732839586386,0.1711435181805884
颛桥镇,3696.0,4124,192.0,399.0,0.8962172647914646,0.48120300751879697,0.4150142572726676,0.4150142572726676,0.2827264622997513,0.11733551276266015
香花桥街道,1038.0,1148,39.0,163.0,0.9041811846689896,0.2392638036809816,0.664917380988008,0.664917380988008,0.07865322635406616,0.052297897273602637
马桥镇,469.0,651,64.0,166.0,0.7204301075268817,0.3855421686746988,0.33488793885218293,0.33488793885218293,0.044572447367169137,0.01492677502838868
马陆镇,2177.0,2439,126.0,407.0,0.8925789257892579,0.3095823095823096,0.5829966162069483,0.5829966162069483,0.167180964124859,0.09746593637900802
高东镇,350.0,393,0.0,9.0,0.8905852417302799,0.0,0.8905852417302799,0.8905852417302799,0.026880614412200465,0.023939478484147996
高境镇,820.0,940,28.0,108.0,0.8723404255319149,0.25925925925925924,0.6130811662726556,0.6130811662726556,0.06439004319657203,0.039476322779301055
高桥镇,340.0,422,17.0,54.0,0.8056872037914692,0.3148148148148148,0.49087238897665436,0.49087238897665436,0.028869231294735703,0.014171108533566507
高行镇,2808.0,3001,20.0,44.0,0.9356881039653449,0.45454545454545453,0.4811426494198903,0.4811426494198903,0.20571898784847295,0.0989801788493925
龙华街道,235.0,283,0.0,11.0,0.8303886925795053,0.0,0.8303886925795053,0.8303886925795053,0.019337584857756458,0.016057711807677625
