street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,raw_gap,m_i,weight_eta,W_FPG
半淞园路街道,2.0,5,17.0,18.0,0.4,0.9444444444444444,-0.5444444444444444,0.5444444444444444,0.0002742919837979639,-0.000149336746734447
华亭镇,33.0,60,16.0,33.0,0.55,0.48484848484848486,0.06515151515151518,0.06515151515151518,0.004045806761019968,0.00026359044049069504
华新镇,3220.0,3706,102.0,236.0,0.868861305990286,0.4322033898305085,0.4366579161597775,0.4366579161597775,0.2540629499928641,0.1109385983172898
华泾镇,275.0,311,2.0,2.0,0.8842443729903537,1.0,-0.11575562700964626,0.11575562700964626,0.021257628744342203,-0.002460690144039611
华漕镇,2674.0,2943,135.0,254.0,0.90859667006456,0.531496062992126,0.377100607072434,0.377100607072434,0.20174175408340247,0.07607693793670876
华阳路街道,121.0,125,3.0,4.0,0.968,0.75,0.21799999999999997,0.21799999999999997,0.008503051497736882,0.00185366522650664
南京东路街道,67.0,74,44.0,124.0,0.9054054054054054,0.3548387096774194,0.550566695727986,0.550566695727986,0.005005828704312842,0.002756042569113827
南京西路街道,90.0,93,7.0,55.0,0.967741935483871,0.12727272727272726,0.8404692082111438,0.8404692082111438,0.006308715627353171,0.005302281228150789
南桥镇,2461.0,3127,67.0,295.0,0.7870163095618804,0.2271186440677966,0.5598976654940838,0.5598976654940838,0.2143591853381088,0.12001920744802076
南汇新城镇,161.0,185,0.0,50.0,0.8702702702702703,0.0,0.8702702702702703,0.8702702702702703,0.012617431254706341,0.010980575308149844
南码头路街道,518.0,563,22.0,96.0,0.9200710479573713,0.22916666666666666,0.6909043812907046,0.6909043812907046,0.03853802372361393,0.02662608943692998
南翔镇,1713.0,1980,66.0,188.0,0.8651515151515151,0.35106382978723405,0.5140876853642811,0.5140876853642811,0.13570595898404264,0.06976476234424654
友谊路街道,1187.0,1318,15.0,79.0,0.9006069802731411,0.189873417721519,0.7107335625516221,0.7107335625516221,0.09031063566547962,0.0641867998228279
古美街道,171.0,193,19.0,25.0,0.8860103626943006,0.76,0.12601036269430055,0.12601036269430055,0.013166015222302268,0.0016590543534009908
叶榭镇,119.0,179,44.0,47.0,0.664804469273743,0.9361702127659575,-0.27136574349221443,0.27136574349221443,0.012205993279009395,-0.003312288441219357
合庆镇,2275.0,3038,92.0,108.0,0.7488479262672811,0.8518518518518519,-0.10300392558457072,0.10300392558457072,0.2082561886986041,-0.021451204963237335
向化镇,53.0,225,21.0,22.0,0.23555555555555555,0.9545454545454546,-0.7189898989898991,0.7189898989898991,0.01536035109268598,-0.011043937280579678
吕巷镇,43.0,87,49.0,92.0,0.4942528735632184,0.532608695652174,-0.03835582208895555,0.03835582208895555,0.005897277651656224,-0.00022619493241609972
吴泾镇,1397.0,1601,49.0,183.0,0.872579637726421,0.2677595628415301,0.6048200748848909,0.6048200748848909,0.10971679351918558,0.06635891927240394
吴淞街道,621.0,699,17.0,38.0,0.8884120171673819,0.4473684210526316,0.44104359611475036,0.44104359611475036,0.0478639511727447,0.021110089149488146
周家渡街道,153.0,179,22.0,36.0,0.8547486033519553,0.6111111111111112,0.2436374922408442,0.2436374922408442,0.012205993279009395,0.002973837592806448
周浦镇,1522.0,1845,108.0,213.0,0.8249322493224932,0.5070422535211268,0.31788999580136645,0.31788999580136645,0.12644860453086137,0.040196746363404166
唐镇,1847.0,1989,24.0,38.0,0.9286073403720463,0.631578947368421,0.29702839300362527,0.29702839300362527,0.13632311594758806,0.04049183605915896
嘉兴路街道,261.0,273,1.0,1.0,0.9560439560439561,1.0,-0.04395604395604391,0.04395604395604391,0.018651854898261547,-0.0008198617537697375
嘉定工业区,604.0,698,32.0,133.0,0.8653295128939829,0.24060150375939848,0.6247280091345844,0.6247280091345844,0.04779537817679522,0.029859111454223836
嘉定镇街道,0.0,17,8.0,16.0,0.0,0.5,-0.5,0.5,0.0010971679351918556,-0.0005485839675959278
四团镇,12.0,146,0.0,51.0,0.0821917808219178,0.0,0.0821917808219178,0.0821917808219178,0.009943084412676191,0.0008172398147405089
四川北路街道,279.0,315,7.0,44.0,0.8857142857142857,0.1590909090909091,0.7266233766233766,0.7266233766233766,0.02153192072814017,0.015645596944668085
四平路街道,52.0,64,2.0,10.0,0.8125,0.2,0.6125,0.6125,0.004320098744817932,0.0026460604812009836
城桥镇,145.0,507,32.0,44.0,0.2859960552268245,0.7272727272727273,-0.4412766720459028,0.4412766720459028,0.03469793595044244,-0.015311389703073129
堡镇,62.0,185,12.0,12.0,0.33513513513513515,1.0,-0.6648648648648648,0.6648648648648648,0.012617431254706341,-0.008388886726102053
塘桥街道,146.0,152,1.0,48.0,0.9605263157894737,0.020833333333333332,0.9396929824561403,0.9396929824561403,0.010354522388373139,0.009730072025039232
夏阳街道,421.0,462,24.0,55.0,0.9112554112554112,0.43636363636363634,0.47489177489177486,0.47489177489177486,0.031612151132715344,0.01501235055956222
外冈镇,149.0,225,2.0,14.0,0.6622222222222223,0.14285714285714285,0.5193650793650795,0.5193650793650795,0.01536035109268598,0.00797762996432834
外滩街道,505.0,523,6.0,94.0,0.9655831739961759,0.06382978723404255,0.9017533867621333,0.9017533867621333,0.03579510388563429,0.03227835615837312
外高桥保税区,216.0,229,49.0,67.0,0.9432314410480349,0.7313432835820896,0.21188815746594536,0.21188815746594536,0.015634643076483944,0.0033127957141138825
大团镇,0.0,125,4.0,25.0,0.0,0.16,-0.16,0.16,0.008503051497736882,-0.0013604882396379013
大场镇,1634.0,1898,69.0,173.0,0.8609062170706007,0.3988439306358382,0.4620622864347625,0.4620622864347625,0.1300829733161844,0.06010643607670836
大宁路街道,125.0,138,10.0,81.0,0.9057971014492754,0.12345679012345678,0.7823403113258186,0.7823403113258186,0.009394500445080264,0.007349696402954635
大桥街道,594.0,629,7.0,24.0,0.9443561208267091,0.2916666666666667,0.6526894541600423,0.6526894541600423,0.04306384145628034,0.028107315174134215
天山路街道,181.0,188,23.0,55.0,0.9627659574468085,0.41818181818181815,0.5445841392649904,0.5445841392649904,0.012823150242554813,0.0069832842375073655
天平路街道,1.0,1,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
天目西路街道,1401.0,1467,98.0,471.0,0.9550102249488752,0.208067940552017,0.7469422843968583,0.7469422843968583,0.10052801206195378,0.07508862297543067
奉城镇,195.0,450,68.0,111.0,0.43333333333333335,0.6126126126126126,-0.17927927927927922,0.17927927927927922,0.030789275181321452,-0.005519879064038709
奉浦街道,297.0,386,28.0,107.0,0.7694300518134715,0.2616822429906542,0.5077478088228173,0.5077478088228173,0.02640060344055403,0.01340484854854144
安亭镇,2529.0,2973,160.0,251.0,0.8506559031281534,0.6374501992031872,0.21320570392496618,0.21320570392496618,0.2037989439618872,0.0434510973065589
