station_id,D_i,Event_Count,D_norm,A_i,CACL,Quad,Color
11102,28885.08,401,0.39478905458059377,0.12343109763309824,0.22074701887095965,Q4,#d62728
11103,22232.190000000002,19,0.3038501567473942,0.13827191753342788,0.20497303192443347,Q4,#d62728
11105,288.58,9,0.0039011559550203223,0.02200793429965645,0.009265872001641333,Q3,#7f7f7f
11108,32272.66,776,0.4410941628150287,0.022317521415320948,0.09921758122831592,Q4,#d62728
11110,194.48,5,0.002614895354573888,0.05870265483527755,0.012389564133976693,Q3,#7f7f7f
11118,2928.15,7,0.03998165428786193,0.012358992286576108,0.022229101577622028,Q3,#7f7f7f
11121,1273.16,32,0.017359460545748807,0.024558523086351643,0.02064758369832612,Q3,#7f7f7f
11122,1985.04,63,0.027090206520730818,0.04482397129826705,0.03484667329243016,Q3,#7f7f7f
11125,27170.019999999997,352,0.37134575909279705,0.05207618938373448,0.13906211589560666,Q4,#d62728
11126,733.38,14,0.00998116355415501,0.18853091788759957,0.04337923381586055,Q3,#7f7f7f
11133,3992.48,118,0.05453006815473922,0.18472530887418678,0.10036475318962658,Q3,#7f7f7f
11136,171.64,2,0.0023026935255176014,0.06478399203831124,0.012213831463705528,Q3,#7f7f7f
11137,73.86,3,0.0009661307039272473,0.16772235177362046,0.012729560628057095,Q3,#7f7f7f
11138,15093.06,377,0.20626480456391752,0.08368401750819783,0.1313813819247304,Q3,#7f7f7f
11144,1806.48,10,0.02464945526870409,0.03412709307083096,0.02900369380096868,Q3,#7f7f7f
11145,8158.38,357,0.11147409616111328,0.05037149841359445,0.07493408608861786,Q3,#7f7f7f
11146,72769.12,1685,0.9946435884851138,0.017941010928448832,0.1335848475349019,Q4,#d62728
11147,48925.05,223,0.6687170444331818,0.08251117063313965,0.23489705438450073,Q4,#d62728
11148,555.18,3,0.00754533317158801,0.05083352837029778,0.019584583422714612,Q3,#7f7f7f
11151,43717.090000000004,570,0.5975290130123421,0.05609330846090549,0.18307752249045134,Q4,#d62728
11152,915.3899999999999,4,0.012469073138504164,0.0418834711921919,0.02285274744073178,Q3,#7f7f7f
11154,1399.81,7,0.019090649759845944,0.05206678805430587,0.031527588154898305,Q3,#7f7f7f
11156,3083.12,10,0.04209995189945793,0.04666880869177212,0.04432555246275686,Q3,#7f7f7f
11157,619.02,14,0.008417967355780362,0.017775533365287192,0.01223249196200726,Q3,#7f7f7f
11158,4781.53,16,0.06531565717474196,0.08979057334846678,0.07658152718738363,Q3,#7f7f7f
11159,79459.26,115,1.0,0.16731348439564894,0.4090397100473852,Q4,#d62728
11160,18711.58,14,0.2557266505567702,0.03868278945228135,0.09945964096468814,Q3,#7f7f7f
11164,19140.81,131,0.2615938305517715,0.156050585945499,0.20204422916117035,Q3,#7f7f7f
11165,12273.29,240,0.16772113768484376,0.06361631061589491,0.10329472393017128,Q3,#7f7f7f
11166,52.32,1,0.0006716986812533239,0.07506720003174629,0.007100882992044261,Q3,#7f7f7f
11167,104773.55,2631,1.0,0.1506182079691731,0.3880956170445282,Q4,#d62728
11170,169.02,1,0.0022668805311162237,0.10757171314394309,0.015615768384066912,Q3,#7f7f7f
11171,781.31,9,0.010636322646390903,0.09787135839143193,0.032264397494635284,Q3,#7f7f7f
11172,1531.6299999999999,42,0.020892508127017557,0.13976830473136762,0.054038046249837386,Q3,#7f7f7f
11173,5821.73,152,0.07953423609699893,0.09564775243189859,0.08721967051110618,Q3,#7f7f7f
11179,14148.32,158,0.1933510761933993,0.08272477613253955,0.12647104211274832,Q3,#7f7f7f
11189,21299.2,24,0.29109704008840886,0.15636197136234042,0.21334597968081292,Q3,#7f7f7f
11191,63873.96,266,0.8730549185311595,0.2001784120128279,0.41805112987714355,Q4,#d62728
11192,2550.2,8,0.034815424809235676,0.00985873175055005,0.018526627701114406,Q3,#7f7f7f
11194,15496.77,10,0.21178314959055122,0.0297901519042164,0.07942954234449488,Q3,#7f7f7f
11199,23249.2,225,0.31775174966195346,0.025710583426065872,0.09038574482993461,Q4,#d62728
11200,1137.29,14,0.015502242397155213,0.11741243979464147,0.04266328752145016,Q3,#7f7f7f
11203,69.84,2,0.0009111809949602477,0.0044258629324386905,0.0020081738446502,Q3,#7f7f7f
11204,954.1299999999999,2,0.012998613368698583,0.08366256028008191,0.032977223571978034,Q3,#7f7f7f
11206,39.84,1,0.0005011085399826386,0.37208748912835904,0.01365489723223569,Q2,#1f77b4
11207,29801.4,96,0.40731430764542986,0.37112234728603144,0.38879743046547605,Q1,#2ca02c
11212,139614.23,2857,1.0,0.03476510438130506,0.18645402752771276,Q4,#d62728
11214,14909.64,10,0.20375762157418442,0.06051041380528688,0.1110380925513175,Q3,#7f7f7f
11216,4508.77,9,0.061587278414085546,0.05231574632717948,0.056762526674670466,Q3,#7f7f7f
11221,467.56999999999994,5,0.006347784912235064,0.21842983864318283,0.0372363482919732,Q3,#7f7f7f
11223,33.24,1,0.0004108925998875645,0.1315898723643596,0.007353183308925766,Q3,#7f7f7f
11226,124.87,2,0.0016633905682075089,0.18019664934477944,0.017312926007544246,Q3,#7f7f7f
11231,791.16,20,0.010770963102441885,0.1885557872851181,0.04506581218174025,Q3,#7f7f7f
11232,1621.32,37,0.022118488076582284,0.2561446033387501,0.07526972402519518,Q3,#7f7f7f
11233,227.98000000000002,3,0.0030728095959655518,0.2123201723125929,0.02554250306644192,Q3,#7f7f7f
11238,35829.55,463,0.489713583294539,0.10505331536866896,0.22681718520906247,Q4,#d62728
11241,2003.3700000000001,62,0.02734076079072214,0.3500314540680886,0.09782702210996844,Q2,#1f77b4
11244,1827.04,50,0.024930491591182078,0.19781622583202443,0.07022574851651395,Q3,#7f7f7f
11245,237.59,1,0.0032041694723767126,0.05551414680114279,0.013337043692860163,Q3,#7f7f7f
11250,20162.61,28,0.2755608983683088,0.07030365116827847,0.13918669934481176,Q3,#7f7f7f
11251,60.59,1,0.0007847419880088182,0.24209300864334832,0.013783343167962451,Q3,#7f7f7f
11252,1057.56,6,0.014412406502643053,0.06307808063870668,0.03015140029205176,Q3,#7f7f7f
11253,60.86,2,0.0007884326401036166,0.0584167236263349,0.0067865787872030585,Q3,#7f7f7f
11254,81.16,2,0.0010659150013051322,0.09900440926288558,0.010272793438430588,Q3,#7f7f7f
11255,235.06,1,0.0031695866953402674,0.07687256095752827,0.015609428126863435,Q3,#7f7f7f
11259,2382.14,8,0.03251819891645111,0.024217180482802796,0.028062414224998153,Q3,#7f7f7f
11260,33557.92,30,0.45866248693117945,0.02867195700211062,0.11467672433310912,Q4,#d62728
11267,8000.5,26,0.10931602152138446,0.001374227070401466,0.012256632327163761,Q3,#7f7f7f
11268,843.99,22,0.011493100695657454,0.017502620078271143,0.01418306648780179,Q3,#7f7f7f
11271,1331.6,30,0.018158281688045185,0.1759253440896949,0.056519925283451636,Q3,#7f7f7f
11278,6159.48,160,0.08415096848595519,0.30118595665324377,0.1592014131430352,Q2,#1f77b4
11284,3128.61,12,0.04272175843202231,0.07643006483017747,0.05714216277512295,Q3,#7f7f7f
11286,17977.44,14,0.24569163082019474,0.06692287915110133,0.12822788822177839,Q3,#7f7f7f
11287,1732.52,7,0.023638489976365955,0.1362192088610728,0.05674518837091802,Q3,#7f7f7f
11288,18084.72,9,0.24715804991919468,0.1050555946201847,0.16113763030225525,Q3,#7f7f7f
11289,6136.58,19,0.08383794651198895,0.044180475663118286,0.06086049913957936,Q3,#7f7f7f
11290,3160.92,10,0.04316340646603319,0.09425452205327974,0.06378358916404284,Q3,#7f7f7f
11294,1110.48,2,0.015135774313223556,0.11107884435048243,0.04100322327650095,Q3,#7f7f7f
11298,4194.15,107,0.05728671188791702,0.06889524033101257,0.06282341747542486,Q3,#7f7f7f
11300,373.32,2,0.005059473949513743,0.02603918478844071,0.011478004055744635,Q3,#7f7f7f
11301,6471.74,13,0.08841927597899879,0.06763969296134188,0.07733467966626377,Q3,#7f7f7f
11303,1747.79,39,0.02384721685594956,0.04392176480861406,0.03236374283186408,Q3,#7f7f7f
11304,632.15,4,0.00859744240024223,0.11264465306844229,0.031120024364566328,Q3,#7f7f7f
11305,22184.09,26,0.30319267391124677,0.008678346617449947,0.051295332302981264,Q4,#d62728
11307,2392.51,10,0.03265994729505504,0.15421878622218332,0.07097025736126274,Q3,#7f7f7f
11310,1267.5,5,0.017282093542576364,0.14179192559478568,0.04950213451671669,Q3,#7f7f7f
