Street_Cumulative_Share_Units,Street_Cumulative_Share_Mismatch,Station_Cumulative_Share_Units,Station_Cumulative_Share_Mismatch
0.15311004784688995,0.01644627208170061,0.014394961763382817,0.0
0.15789473684210525,0.017530257153630994,0.014844804318488529,0.0
0.16267942583732056,0.018738536785590513,0.015294646873594242,0.0
0.1674641148325359,0.019956717267142897,0.015744489428699954,0.0
0.1722488038277512,0.0212338876246428,0.016194331983805668,0.0
0.17703349282296652,0.022559986132966208,0.016644174538911382,0.0
0.18181818181818182,0.02394488993494611,0.017094017094017096,0.0
0.18660287081339713,0.025382128328374196,0.017543859649122806,0.0
0.19138755980861244,0.026976632241517255,0.01799370220422852,0.0
0.19617224880382775,0.028606112369529257,0.018443544759334234,0.0
0.20095693779904306,0.03028990850180833,0.018893387314439947,0.0
0.20574162679425836,0.0319737046340874,0.019343229869545658,0.0
0.21052631578947367,0.03385695685201438,0.01979307242465137,0.0
0.215311004784689,0.03574364283356581,0.020242914979757085,0.0
0.22009569377990432,0.03770807165455806,0.0206927575348628,0.0
0.22488038277511962,0.039696844977918186,0.02114260008996851,0.0
0.22966507177033493,0.04180642000213703,0.021592442645074223,0.0
0.23444976076555024,0.044036272877242634,0.022042285200179937,0.0
0.23923444976076555,0.046279991250046976,0.02249212775528565,0.0
0.24401913875598086,0.04855317876320391,0.022941970310391364,0.0
0.24880382775119617,0.05084735099343414,0.023391812865497075,0.0
0.2535885167464115,0.053227663374752876,0.02384165542060279,0.0
0.2583732057416268,0.05562415539470453,0.024291497975708502,0.0
0.2631578947368421,0.05802554249610924,0.024741340530814216,0.0
0.2679425837320574,0.06048854215768767,0.025191183085919926,0.0
0.2727272727272727,0.06298737487386209,0.02564102564102564,0.0
0.27751196172248804,0.06555134904332026,0.026090868196131354,0.0
0.2822966507177033,0.06827402137261512,0.026540710751237068,0.0
0.28708133971291866,0.07112687224660255,0.02699055330634278,0.0
0.291866028708134,0.07398265092988521,0.027440395861448492,0.0
0.2966507177033493,0.07710849630061378,0.027890238416554206,0.0
0.3014354066985646,0.08026536423054709,0.02834008097165992,0.0
0.3062200956937799,0.08353829030922096,0.028789923526765633,0.0
0.31100478468899523,0.08685421147374811,0.029239766081871343,0.0
0.3157894736842105,0.09019959863262655,0.029689608636977057,0.0
0.32057416267942584,0.09354575708496764,0.03013945119208277,0.0
0.3253588516746411,0.09689825202133551,0.030589293747188485,0.0
0.33014354066985646,0.10028393384945182,0.0310391363022942,0.0
0.3349282296650718,0.10371019771546244,0.03148897885739991,0.0
0.3397129186602871,0.1071693660742145,0.031938821412505626,0.0
0.3444976076555024,0.11069363492537836,0.032388663967611336,0.0
0.3492822966507177,0.11439114458560923,0.03283850652271705,0.0
0.35406698564593303,0.11819929531024348,0.033288349077822764,0.0
0.3588516746411483,0.12205510003176025,0.033738191632928474,0.0
0.36363636363636365,0.1259260120987076,0.03418803418803419,0.0
0.3684210526315789,0.12985322779966985,0.0346378767431399,0.0
0.37320574162679426,0.13382173119759894,0.03508771929824561,0.0
0.37799043062200954,0.13789811085107026,0.03553756185335133,0.0
0.3827751196172249,0.1419906708948041,0.03598740440845704,0.0
0.3875598086124402,0.14608323093853795,0.03643724696356275,0.0
0.3923444976076555,0.15021696522495026,0.03688708951866847,0.0
0.39712918660287083,0.15437064385315016,0.03733693207377418,0.0
0.4019138755980861,0.15857175986621383,0.037786774628879895,0.0
0.40669856459330145,0.16278943492960862,0.038236617183985605,0.0
0.41148325358851673,0.16702511534531947,0.038686459739091315,0.0
0.41626794258373206,0.17127302901574967,0.03913630229419703,0.0
0.42105263157894735,0.17555052981947733,0.03958614484930274,0.0
0.4258373205741627,0.1798556903849636,0.04003598740440846,0.0
0.430622009569378,0.18422318664269102,0.04048582995951417,0.0
0.4354066985645933,0.18859785122490405,0.04093567251461988,0.0
0.44019138755980863,0.1930647185551666,0.0413855150697256,0.0
0.4449760765550239,0.19765998674490956,0.04183535762483131,0.0
0.44976076555023925,0.20226652607200088,0.04228520017993702,0.0
0.45454545454545453,0.2068757548255749,0.042735042735042736,0.0
0.45933014354066987,0.21151717670872783,0.043184885290148446,0.0
0.46411483253588515,0.216161051419077,0.04363472784525416,0.0
0.4688995215311005,0.22088072205582035,0.044084570400359874,0.0
0.47368421052631576,0.22566741220836545,0.044534412955465584,0.0
0.4784688995215311,0.23046899016657735,0.0449842555105713,0.0
0.48325358851674644,0.23529223655268944,0.04543409806567701,0.0
0.4880382775119617,0.24012592826820872,0.04588394062078273,0.0
0.49282296650717705,0.2449885450855267,0.04633378317588844,0.0
0.49760765550239233,0.24989479527050365,0.04678362573099415,0.0
0.5023923444976076,0.2548349964427524,0.04723346828609987,0.0
0.507177033492823,0.25983262727908935,0.04768331084120558,0.0
0.5119617224880383,0.2648387051897281,0.048133153396311294,0.0
0.5167464114832536,0.2699021185157763,0.048582995951417005,0.0
0.5215311004784688,0.27499748537286534,0.049032838506522715,0.0
0.5263157894736842,0.2800949150701945,0.04948268106162843,0.0
0.5311004784688995,0.28522103322558817,0.04993252361673414,0.0
0.5358851674641149,0.29035108942128846,0.05038236617183985,0.0
0.5406698564593302,0.2955168958587977,0.05083220872694557,0.0
0.5454545454545454,0.3007230246208252,0.05128205128205128,0.0
0.5502392344497608,0.3059848875341972,0.051731893837157,0.0
0.5550239234449761,0.31132168301753915,0.05218173639226271,0.0
0.5598086124401914,0.3166650817467206,0.05263157894736842,0.0
0.5645933014354066,0.3220556046310153,0.053081421502474135,0.0
0.569377990430622,0.3274657224826945,0.053531264057579846,0.0
0.5741626794258373,0.3329313781819178,0.05398110661268556,0.0
0.5789473684210527,0.3384902817436255,0.05443094916779127,0.0
0.583732057416268,0.34407370294614814,0.054880791722896984,0.0
0.5885167464114832,0.34967473450078623,0.0553306342780027,0.0
0.5933014354066986,0.3552761930546561,0.05578047683310841,0.0
0.5980861244019139,0.36089099695547966,0.05623031938821413,0.0
0.6028708133971292,0.3665945062557558,0.05668016194331984,0.0
0.6076555023923444,0.37232409031698316,0.05713000449842555,0.0
0.6124401913875598,0.37805514448820143,0.057579847053531266,0.0
0.6172248803827751,0.38379535857551644,0.058029689608636977,0.0
0.6220095693779905,0.38956002172283294,0.05847953216374269,0.0
0.6267942583732058,0.3953376211080842,0.058929374718848404,0.0
0.631578947368421,0.401131634063262,0.059379217273954114,0.0
0.6363636363636364,0.40693754691946066,0.05982905982905983,0.0
0.6411483253588517,0.41275809343046216,0.06027890238416554,0.0
0.645933014354067,0.4185955999429005,0.06072874493927125,0.0
0.6507177033492823,0.4244593185224836,0.06117858749437697,0.0
0.6555023923444976,0.43034211524565574,0.06162843004948268,0.0
0.6602870813397129,0.4362343247683496,0.0620782726045884,0.0
0.6650717703349283,0.4421450040182948,0.0625281151596941,0.0
0.6698564593301436,0.4480645997958384,0.06297795771479982,0.0
0.6746411483253588,0.4539916792595736,0.06342780026990553,0.0
0.6794258373205742,0.4599307040548919,0.06387764282501125,0.0
0.6842105263157895,0.4659427627774486,0.06432748538011696,0.0
0.6889952153110048,0.471956320392731,0.06477732793522267,0.0
0.69377990430622,0.47809161693961255,0.06522717049032839,0.0
0.6985645933014354,0.48425184669185306,0.0656770130454341,0.0
0.7033492822966507,0.4906168073344525,0.06612685560053981,0.0
0.7081339712918661,0.4970625894033333,0.06657669815564553,0.0
0.7129186602870813,0.5035144875067273,0.06702654071075123,0.0
0.7177033492822966,0.510051789145621,0.06747638326585695,0.0
0.722488038277512,0.516626255430041,0.06792622582096267,0.0
0.7272727272727273,0.5232039404943762,0.06837606837606838,0.0
0.7320574162679426,0.52979230756824,0.06882591093117409,0.0
0.7368421052631579,0.5363844258292635,0.0692757534862798,0.0
0.7416267942583732,0.5429790178007469,0.06972559604138552,0.0
0.7464114832535885,0.5496888633793938,0.07017543859649122,0.0
0.7511961722488039,0.5564114554160678,0.07062528115159694,0.0
0.7559808612440191,0.5631643491163045,0.07107512370670266,0.0
0.7607655502392344,0.5699288021834155,0.07152496626180836,0.0
0.7655502392344498,0.5767766951757471,0.07197480881691408,0.0
0.7703349282296651,0.5836454200413348,0.0724246513720198,0.0
0.7751196172248804,0.5906422755910079,0.0728744939271255,0.0
0.7799043062200957,0.5976396838059626,0.07332433648223122,0.0
0.784688995215311,0.6047058530165431,0.07377417903733693,0.0
0.7894736842105263,0.6117741945812393,0.07422402159244265,0.0
0.7942583732057417,0.6188777772552849,0.07467386414754835,0.0
0.7990430622009569,0.6261486655364846,0.07512370670265407,0.0
0.8038277511961722,0.6334957542509271,0.07557354925775979,0.0
0.8086124401913876,0.6409003930540489,0.07602339181286549,0.0
0.8133971291866029,0.6483758347092653,0.07647323436797121,0.0
0.8181818181818182,0.6558553998574237,0.07692307692307693,0.0
0.8229665071770335,0.6634218524265919,0.07737291947818263,0.0
0.8277511961722488,0.6710065673285001,0.07782276203328835,0.0
0.8325358851674641,0.6786533525233875,0.07827260458839407,0.0
0.8373205741626795,0.6864572578013576,0.07872244714349977,0.0
0.8421052631578947,0.6943178736107519,0.07917228969860549,0.0
0.84688995215311,0.7021925236259364,0.0796221322537112,0.0
0.8516746411483254,0.7100853179959946,0.08007197480881692,0.0
0.8564593301435407,0.7182076567213341,0.08052181736392262,0.0
0.861244019138756,0.7264407916609368,0.08097165991902834,0.0
0.8660287081339713,0.7349019727266498,0.08142150247413406,0.0
0.8708133971291866,0.7434856327889561,0.08187134502923976,0.0
0.8755980861244019,0.7522244157192913,0.08232118758434548,0.0
0.8803827751196173,0.7609848347370836,0.0827710301394512,0.0
