station_id,Time_Window,vehicleposition_longitude,vehicleposition_latitude,W_FPG,abs_w_fpg,delta_s,Delta_s,Sigma_s
10570,Whole_Day,121.009,30.896,9.869232667160129e-06,9.869232667160129e-06,2.0,2,5.0
10571,Whole_Day,121.11399999999999,30.988,-2.9607698001480386e-05,2.9607698001480386e-05,42.0,48,8.0
10573,Whole_Day,121.17351612903227,30.973387096774193,0.00038983469035282507,0.00038983469035282507,79.0,93,1.0
10574,Whole_Day,121.184,30.971999999999998,0.0,0.0,0.0,9,1.0
10575,Whole_Day,121.15115942028986,31.061898550724642,0.000537873180360227,0.000537873180360227,109.0,138,10.0
10581,Whole_Day,121.193,31.031999999999996,0.00034048852701702443,0.00034048852701702443,69.0,73,35.0
10583,Whole_Day,121.202,31.038,0.000621761658031088,0.000621761658031088,126.0,135,10.0
10584,Whole_Day,121.14080000000001,30.957299999999996,-4.934616333580064e-05,4.934616333580064e-05,0.0,10,8.0
10586,Whole_Day,121.129,31.01496363636364,0.00025166543301258324,0.00025166543301258324,51.0,55,28.0
10587,Whole_Day,121.097,30.958,0.0,0.0,0.0,1,2.0
10589,Whole_Day,121.18816666666667,31.19333333333333,-4.934616333580063e-06,4.934616333580063e-06,5.0,6,8.0
10590,Whole_Day,121.166,31.188999999999997,9.99259807549963e-05,9.99259807549963e-05,27.0,27,8.0
10591,Whole_Day,121.161,31.185999999999996,2.220577350111029e-05,2.220577350111029e-05,6.0,6,8.0
10593,Whole_Day,121.186,30.998,0.0,0.0,0.0,4,5.0
10596,Whole_Day,121.17,31.202,-9.86923266716013e-07,9.86923266716013e-07,0.0,2,60.0
10597,Whole_Day,121.18626119402985,31.19690298507463,-0.00010362694300518135,0.00010362694300518135,113.0,134,8.0
10598,Whole_Day,121.20335483870969,31.193,-9.869232667160137e-06,9.869232667160137e-06,29.0,31,8.0
10611,Whole_Day,121.179,31.012,0.0,0.0,0.0,1,6.0
10614,Whole_Day,121.204,31.011,0.0,0.0,1.0,1,8.0
10615,Whole_Day,121.20291333333334,31.011,-8.882309400444115e-05,8.882309400444115e-05,132.0,150,8.0
10617,Whole_Day,121.186125,31.198125,-1.4803849000740193e-05,1.4803849000740193e-05,5.0,8,8.0
10619,Whole_Day,121.164,31.031,2.467308166790032e-06,2.467308166790032e-06,1.0,1,6.0
10627,Whole_Day,121.202,31.012,0.0,0.0,1.0,1,8.0
10636,Whole_Day,121.205,31.019,-9.869232667160129e-06,9.869232667160129e-06,0.0,2,8.0
10637,Whole_Day,121.20329435483872,31.017112903225804,-9.375771033802128e-05,9.375771033802128e-05,229.0,248,8.0
10638,Whole_Day,121.206,31.018,0.0001381692573402418,0.0001381692573402418,28.0,33,24.0
10639,Whole_Day,121.215,31.456,0.0,0.0,0.0,2,1.0
10640,Whole_Day,121.27891304347825,31.47095652173913,1.2336540833950165e-05,1.2336540833950165e-05,14.0,23,16.0
10641,Whole_Day,121.29164705882353,31.478529411764704,9.86923266716013e-06,9.86923266716013e-06,19.0,34,16.0
10645,Whole_Day,121.27,31.421000000000003,0.0,0.0,3.0,3,1.0
10648,Whole_Day,121.23692307692308,31.40007692307692,-6.415001233654083e-05,6.415001233654083e-05,0.0,13,1.0
10654,Whole_Day,121.394,31.413,-1.233654083395016e-05,1.233654083395016e-05,0.0,5,8.0
10656,Whole_Day,121.237,31.399,-9.869232667160129e-06,9.869232667160129e-06,0.0,2,1.0
10657,Whole_Day,121.215,31.416,5.921539600296077e-05,5.921539600296077e-05,12.0,13,1.0
10659,Whole_Day,121.24300000000001,31.399,0.00019245003700962251,0.00019245003700962251,39.0,42,20.0
10663,Whole_Day,121.243,31.399999999999995,1.4803849000740193e-05,1.4803849000740193e-05,3.0,3,24.0
10667,Whole_Day,121.244,31.398,0.0,0.0,8.0,8,1.0
10668,Whole_Day,121.52624999999999,31.3625,-3.8490007401924504e-05,3.8490007401924504e-05,1.0,44,10.0
10671,Whole_Day,121.22702272727271,31.285545454545456,-0.00021712311867752283,0.00021712311867752283,0.0,44,20.0
10674,Whole_Day,121.237,31.172,0.0,0.0,0.0,8,10.0
10675,Whole_Day,121.218,31.290923076923075,0.0,0.0,0.0,13,1.0
10676,Whole_Day,121.217,31.29,0.00039476930668640517,0.00039476930668640517,80.0,93,1.0
10677,Whole_Day,121.23999607843137,31.177003921568627,0.001223784850727856,0.001223784850727856,248.0,255,9.0
10679,Whole_Day,121.232,31.179,0.0,0.0,0.0,1,6.0
