station_id,S_i,B_i,Total_Volume,Daily_Events
10929,-0.04432746474032323,0.09593069641497659,1079,154.14285714285714
10933,,0.0,5,0.7142857142857143
10936,0.9012345679012346,0.24794681578272004,128,18.285714285714285
10937,0.0,0.0,18,2.5714285714285716
10938,0.8937464142283419,0.24703168713727494,175,25.0
10948,-1.0,0.0,7,1.0
10949,-0.04076086956521739,0.17095872964897577,137,19.571428571428573
10950,-0.02478448275862069,0.09161369488485209,287,41.0
10956,-1.0,0.0,6,0.8571428571428571
10959,-0.1904761904761905,0.3385830001222467,39,5.571428571428571
10960,0.9745762711864406,0.11078593888586104,85,12.142857142857142
10966,0.8228070175438597,0.2918984041795589,105,15.0
10967,0.9626543209876544,0.1709097028655625,186,26.571428571428573
10971,0.7755102040816326,0.42156979070537554,62,8.857142857142858
10973,0.9564102564102563,0.18698290520153665,87,12.428571428571429
10975,-1.0,0.0,12,1.7142857142857142
10978,0.0,0.0,18,2.5714285714285716
10981,-0.4,0.0,9,1.2857142857142858
10982,1.0,0.0,9,1.2857142857142858
10983,0.9492753623188406,0.1945002558638852,97,13.857142857142858
10985,0.9166666666666666,0.28867513459481287,13,1.8571428571428572
10999,-1.0,0.0,8,1.1428571428571428
11000,0.0,0.0,17,2.4285714285714284
11002,1.0,0.0,5,0.7142857142857143
11004,-1.0,0.0,36,5.142857142857143
11005,0.9401294498381877,0.20952842701573937,214,30.571428571428573
11007,0.9230576183076183,0.1815895232120431,557,79.57142857142857
11009,0.0,0.0,19,2.7142857142857144
11015,0.09090909090909091,0.30151134457776363,11,1.5714285714285714
11019,,0.0,12,1.7142857142857142
11022,-0.08482142857142858,0.2300038819548177,83,11.857142857142858
11025,0.4666666666666667,0.0,7,1.0
11026,,0.0,348,49.714285714285715
11028,-0.2,0.447213595499958,5,0.7142857142857143
11029,-0.06920077972709553,0.21549354311580107,158,22.571428571428573
11032,0.575,0.48304589153964794,10,1.4285714285714286
11033,0.4303030303030303,0.18891859540615819,88,12.571428571428571
11034,0.9736842105263158,0.11314714296070716,47,6.714285714285714
11040,0.9347071296050887,0.1747579021506485,550,78.57142857142857
11044,0.0,0.0,27,3.857142857142857
11045,0.0,0.0,7,1.0
11050,0.0,0.0,8,1.1428571428571428
11053,-0.05673211708925995,0.13837739413766373,585,83.57142857142857
11054,-0.039784946236559135,0.1622053675699591,198,28.285714285714285
11055,-0.06882716049382716,0.19292686079250337,305,43.57142857142857
11056,-0.8181818181818182,0.4045199174779453,11,1.5714285714285714
11058,1.0,0.0,39,5.571428571428571
11059,0.42745098039215684,0.33143099471574616,80,11.428571428571429
11060,-0.046219870664315106,0.13814898210672874,423,60.42857142857143
11061,0.0,0.0,7,1.0
11062,-0.1111111111111111,0.33333333333333337,9,1.2857142857142858
11069,0.9601905472999223,0.135370153655449,404,57.714285714285715
11071,0.9558823529411765,0.18798408390961258,96,13.714285714285714
11073,-0.056935817805383024,0.13027172049197908,282,40.285714285714285
11074,-0.0960093896713615,0.21088371859325084,165,23.571428571428573
11075,-1.0,0.0,12,1.7142857142857142
11077,-0.093593789586156,0.23650894817774082,362,51.714285714285715
11078,,0.0,30,4.285714285714286
11079,-1.0,0.0,14,2.0
11083,0.9386465197689687,0.1757048703128391,544,77.71428571428571
11084,-1.0,0.0,18,2.5714285714285716
11086,0.9166666666666666,0.19462473604038072,15,2.142857142857143
11091,-0.07142857142857142,0.24174688920761406,76,10.857142857142858
11098,-0.4,0.0,13,1.8571428571428572
11099,0.0,0.0,13,1.8571428571428572
11101,0.8970588235294118,0.2959169561207774,42,6.0
11102,-0.05062074829931973,0.1709644727922593,401,57.285714285714285
11103,-1.0,0.0,19,2.7142857142857144
11105,-0.375,0.5175491695067657,9,1.2857142857142858
11108,0.6958898209360243,0.17257856184570308,776,110.85714285714286
11110,0.5,0.5773502691896257,5,0.7142857142857143
11118,-1.0,0.0,7,1.0
11121,0.8793103448275862,0.3177817201710584,32,4.571428571428571
11122,-0.07986111111111112,0.25495000977879884,63,9.0
11125,0.904780361757106,0.24485384044862363,352,50.285714285714285
11126,0.8571428571428571,0.36313651960128146,14,2.0
11133,0.9535714285714286,0.20541958272994348,118,16.857142857142858
11138,0.9187174139728884,0.2181153248279051,377,53.857142857142854
11144,-0.4,0.0,10,1.4285714285714286
11145,-0.006613756613756613,0.04899339479650362,357,51.0
11146,-0.08071051113741275,0.11267373202858016,1685,240.71428571428572
11147,-0.28823529411764703,0.3797508409860923,223,31.857142857142858
11151,0.906480315980316,0.21942592307789602,570,81.42857142857143
11154,-1.0,0.0,7,1.0
11156,-1.0,0.0,10,1.4285714285714286
11157,0.7047619047619048,0.25197631533948484,14,2.0
11158,-1.0,0.0,16,2.2857142857142856
11159,-0.38039215686274513,0.14002800840280094,115,16.428571428571427
11160,-1.0,0.0,14,2.0
11164,0.5177777777777777,0.24716612043540892,131,18.714285714285715
11165,-0.10109289617486339,0.2620444598167497,240,34.285714285714285
11167,-0.02822106152148294,0.055662615895404874,2631,375.85714285714283
11171,-0.6666666666666666,0.5,9,1.2857142857142858
11172,0.9705882352941176,0.17149858514250882,42,6.0
11173,0.924404761904762,0.23091759265054912,152,21.714285714285715
11179,0.7381712259371833,0.38802046030505755,158,22.571428571428573
11189,0.0,0.0,24,3.4285714285714284
11191,0.92998712998713,0.21482936769232874,266,38.0
11192,-1.0,0.0,8,1.1428571428571428
11194,-1.0,0.0,10,1.4285714285714286
11199,0.42261458890672376,0.15837469775058036,225,32.142857142857146
11200,-0.5,0.5,14,2.0
11207,0.4435483870967742,0.22369546610231722,96,13.714285714285714
11212,0.472268785555374,0.05611422560902225,2857,408.14285714285717
11214,0.0,0.0,10,1.4285714285714286
11216,-1.0,0.0,9,1.2857142857142858
11221,0.0,0.0,5,0.7142857142857143
11231,0.4421052631578948,0.37463432463267754,20,2.857142857142857
11232,0.9393939393939394,0.24230584229878002,37,5.285714285714286
11238,0.9546190137987013,0.13337763926052482,463,66.14285714285714
11241,0.5,0.0,62,8.857142857142858
11244,0.9404761904761905,0.22638142194042282,50,7.142857142857143
11250,0.0,0.0,28,4.0
11252,0.0,0.0,6,0.8571428571428571
11259,0.0,0.0,8,1.1428571428571428
11260,-1.0,0.0,30,4.285714285714286
11267,-1.0,0.0,26,3.7142857142857144
11268,0.0,0.0,22,3.142857142857143
11271,-0.07142857142857142,0.23904572186687872,30,4.285714285714286
11278,0.8907407407407408,0.25953852149395934,160,22.857142857142858
11284,0.0,0.0,12,1.7142857142857142
11286,0.0,0.0,14,2.0
11287,0.0,0.0,7,1.0
