station_id,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,W_FPG
10648,0.0,13,1.0,1.0,0.0,1.0,-6.415001233654083e-05
10654,0.0,5,4.0,8.0,0.0,0.5,-1.233654083395016e-05
10656,0.0,2,1.0,1.0,0.0,1.0,-9.869232667160129e-06
10657,12.0,13,0.0,1.0,0.9230769230769231,0.0,5.921539600296077e-05
10659,39.0,42,0.0,20.0,0.9285714285714286,0.0,0.00019245003700962251
10663,3.0,3,0.0,24.0,1.0,0.0,1.4803849000740193e-05
10667,8.0,8,1.0,1.0,1.0,1.0,0.0
10668,1.0,44,2.0,10.0,0.022727272727272728,0.2,-3.8490007401924504e-05
10671,0.0,44,20.0,20.0,0.0,1.0,-0.00021712311867752283
10674,0.0,8,0.0,10.0,0.0,0.0,0.0
10675,0.0,13,0.0,1.0,0.0,0.0,0.0
10676,80.0,93,0.0,1.0,0.8602150537634409,0.0,0.00039476930668640517
10677,248.0,255,0.0,9.0,0.9725490196078431,0.0,0.001223784850727856
10679,0.0,1,0.0,6.0,0.0,0.0,0.0
10684,63.0,65,8.0,8.0,0.9692307692307692,1.0,-9.869232667160129e-06
10688,18.0,23,0.0,16.0,0.782608695652174,0.0,8.882309400444115e-05
10689,13.0,20,4.0,8.0,0.65,0.5,1.4803849000740194e-05
10692,0.0,3,0.0,36.0,0.0,0.0,0.0
10693,0.0,4,8.0,8.0,0.0,1.0,-1.9738465334320257e-05
10694,0.0,6,0.0,36.0,0.0,0.0,0.0
10699,79.0,86,0.0,6.0,0.9186046511627907,0.0,0.00038983469035282507
10700,216.0,235,0.0,5.0,0.9191489361702128,0.0,0.001065877128053294
10701,40.0,40,0.0,5.0,1.0,0.0,0.00019738465334320256
10703,0.0,2,0.0,5.0,0.0,0.0,0.0
10704,0.0,2,0.0,5.0,0.0,0.0,0.0
10705,0.0,8,0.0,5.0,0.0,0.0,0.0
10710,0.0,2,0.0,5.0,0.0,0.0,0.0
10712,539.0,580,1.0,1.0,0.9293103448275862,1.0,-0.00020231926967678254
10714,9.0,13,0.0,20.0,0.6923076923076923,0.0,4.441154700222058e-05
10720,33.0,35,2.0,5.0,0.9428571428571428,0.4,9.375771033802121e-05
10721,2.0,22,1.0,11.0,0.09090909090909091,0.09090909090909091,0.0
10726,723.0,775,2.0,2.0,0.9329032258064516,1.0,-0.0002566000493461635
10728,7.0,8,2.0,2.0,0.875,1.0,-4.934616333580064e-06
10729,0.0,10,0.0,9.0,0.0,0.0,0.0
10730,1.0,2,2.0,2.0,0.5,1.0,-4.934616333580064e-06
10731,0.0,2,2.0,2.0,0.0,1.0,-9.869232667160129e-06
10736,0.0,18,0.0,6.0,0.0,0.0,0.0
10737,17.0,38,0.0,6.0,0.4473684210526316,0.0,8.38884776708611e-05
10743,0.0,13,8.0,15.0,0.0,0.5333333333333333,-3.421333991282178e-05
10747,0.0,2,8.0,15.0,0.0,0.5333333333333333,-5.263590755818735e-06
10748,0.0,6,0.0,6.0,0.0,0.0,0.0
10749,0.0,7,0.0,36.0,0.0,0.0,0.0
10752,0.0,1,8.0,51.0,0.0,0.1568627450980392,-7.740574640909905e-07
10753,0.0,6,1.0,1.0,0.0,1.0,-2.9607698001480386e-05
10761,0.0,10,0.0,5.0,0.0,0.0,0.0
10769,0.0,23,0.0,1.0,0.0,0.0,0.0
10772,172.0,183,4.0,4.0,0.9398907103825137,1.0,-5.428077966938067e-05
10779,43.0,60,4.0,4.0,0.7166666666666667,1.0,-8.388847767086108e-05
10782,190.0,210,6.0,6.0,0.9047619047619048,1.0,-9.869232667160128e-05
10783,233.0,270,2.0,5.0,0.8629629629629629,0.4,0.0006168270416975079
10788,0.0,2,0.0,3.0,0.0,0.0,0.0
10789,0.0,1,0.0,3.0,0.0,0.0,0.0
10791,67.0,70,20.0,20.0,0.9571428571428572,1.0,-1.4803849000740178e-05
