station_id,S_i,B_i,Total_Volume,Regime
10973,0.9484848484848485,0.20253721720873347,73,Q1
13893,0.9482758620689655,0.20282338640749786,93,Q1
13626,0.9583333333333334,0.2041241452319315,30,Q1
10503,0.9078586990351696,0.20438552070002533,261,Q1
14477,0.7435483870967742,0.20455546984438605,80,Q1
13556,0.9372659176029963,0.20500404147146603,208,Q1
15635,0.9301120448179272,0.20560962260172452,326,Q1
16450,0.9395515487748497,0.20640321951898177,264,Q1
12109,0.8995302287581699,0.20734933320583077,492,Q1
12973,0.9097701149425288,0.20735120009724944,178,Q1
14977,0.4351851851851852,0.20808185880736127,53,Q1
14302,0.5677258566978194,0.20810294084825942,222,Q1
14684,0.9464285714285714,0.20813482606259293,33,Q1
11033,0.4222222222222222,0.20840907713999274,71,Q1
13587,0.9565217391304348,0.20851441405707474,29,Q1
12422,0.7565217391304349,0.20851441405707477,27,Q1
12361,0.7380856760374833,0.20869775269493454,172,Q1
14873,0.6228991596638656,0.20951897544488265,140,Q1
14472,0.9058189033189034,0.21077159756790453,570,Q1
11191,0.929483282674772,0.21080871041463073,223,Q1
12571,0.9367816091954023,0.2108834078660316,40,Q1
14038,0.9310035842293907,0.2108985749696089,184,Q1
13665,0.4186170212765958,0.2113824381145276,192,Q1
15708,0.7723264389931057,0.21180778991453258,237,Q1
15417,0.9138370538915671,0.2121299252280959,511,Q1
15561,0.6531333333333333,0.21313725868422562,381,Q1
12605,0.9545454545454546,0.21320071635561041,27,Q1
14285,0.9545454545454546,0.21320071635561041,26,Q1
11151,0.9147445074610429,0.2136278429419173,466,Q1
15159,0.9112380952380953,0.2141667886546638,212,Q1
11138,0.9222018722018722,0.2141853051242642,313,Q1
12396,0.9423076923076923,0.2157277486520024,29,Q1
10659,0.9423076923076923,0.21572774865200242,31,Q1
12476,0.9423076923076923,0.21572774865200242,32,Q1
14823,0.9423076923076923,0.21572774865200242,41,Q1
10512,0.41379525593008737,0.21589169933426247,225,Q1
10983,0.9363636363636364,0.21633618930115878,77,Q1
10448,0.15344926237783377,0.21677325566837524,246,Q1
15226,0.9119747899159664,0.21764263969768088,216,Q1
13157,0.9240924092409241,0.21765767270245412,242,Q1
15624,0.8927860696517412,0.21818087592137855,105,Q1
12961,0.9351851851851852,0.21818929587169014,75,Q1
13809,0.9523809523809523,0.21821789023599236,25,Q1
11005,0.937037037037037,0.2182780439726142,181,Q1
15456,0.9346405228758169,0.21878053786220722,67,Q1
12501,0.9171879141266895,0.22004882836769724,351,Q1
14676,0.9303834808259588,0.22032432452783937,235,Q1
15765,0.9384057971014492,0.22043362331240315,63,Q1
11951,0.9191919191919192,0.22062531771849755,218,Q1
15990,0.75,0.22072142786315224,49,Q1
11133,0.9491525423728814,0.2215718777717221,92,Q1
16275,0.9303030303030304,0.22299289164865713,31,Q1
14795,0.8384353741496599,0.22322004600862388,86,Q1
13913,0.9104477611940298,0.22347191202046746,96,Q1
13431,0.95,0.22360679774997894,21,Q1
14625,0.7277777777777777,0.22360679774997896,21,Q1
16595,0.43137254901960786,0.22404481344448154,78,Q1
11900,0.24078014184397167,0.22430853555653227,212,Q1
10376,0.9391534391534391,0.22460955230596358,89,Q1
12047,0.9356060606060606,0.2250923126476354,62,Q1
12442,0.8148148148148148,0.2258611906201943,74,Q1
10915,0.9162878787878789,0.22619029941618318,182,Q1
11785,0.7738095238095238,0.2263814219404227,57,Q1
12195,0.917910447761194,0.22821429162666046,159,Q1
15790,0.7773946360153255,0.22839425164127797,215,Q1
16148,0.43478260869565216,0.22884829364008,29,Q1
13083,0.6770833333333333,0.22903477217132864,149,Q1
12008,0.9473684210526315,0.22941573387056174,25,Q1
12723,0.4473684210526316,0.22941573387056177,33,Q1
13192,0.9473684210526315,0.22941573387056177,33,Q1
12338,0.8131313131313131,0.22974678007753835,176,Q1
14161,0.6649222065063649,0.22979851449985247,217,Q1
10446,0.09461898796115423,0.23060896492639288,756,Q1
12583,0.7845622119815668,0.2310602941008244,96,Q1
12035,0.8799047619047619,0.23111765209651816,259,Q1
11729,0.9228758169934641,0.23134372829085503,192,Q1
11125,0.9096453596453596,0.2316874196521946,299,Q1
12739,0.4375,0.23170217399907458,50,Q1
15569,0.9197183098591549,0.23185432377596618,121,Q1
11164,0.5270833333333333,0.23358829607557832,111,Q1
13910,0.9318181818181818,0.23378126454803783,27,Q1
10220,0.9246666666666666,0.23391557946511024,178,Q1
12539,0.8718536823799982,0.234775525552887,338,Q1
11915,0.9214015151515151,0.23480581993550212,161,Q1
14887,0.8333333333333334,0.23570226039551578,19,Q1
15819,0.8391812865497076,0.2357022603955158,22,Q1
11760,0.9082191780821918,0.2359496717311889,131,Q1
15998,0.925,0.2360515600097802,90,Q1
14573,0.931547619047619,0.23736088049673987,70,Q1
15664,0.9342105263157895,0.2374143552997969,55,Q1
11244,0.9342105263157895,0.23741435529979704,44,Q1
15639,0.9273504273504273,0.23815467415717875,50,Q1
13177,0.928030303030303,0.2392835007160482,124,Q1
10568,0.8310897435897436,0.23955361642707063,86,Q1
11920,0.8744708994708995,0.2397375055233281,347,Q1
13066,0.4073770491803279,0.23987891602508493,112,Q1
15946,0.5734126984126983,0.24023620412576407,77,Q1
13731,0.9256756756756757,0.24032558441312446,117,Q1
14507,0.9324324324324325,0.24043254315463997,44,Q1
12387,0.9261904761904761,0.24149878260176097,52,Q1
10936,0.9053030303030303,0.24191471074063944,105,Q1
11591,0.7044444444444444,0.24236076154926303,115,Q1
12719,0.9411764705882353,0.24253562503633297,18,Q1
14402,0.9305555555555556,0.24356805378660973,50,Q1
13723,0.8982825917252147,0.24389382610520832,295,Q1
16611,0.4195624195624196,0.24393314848940137,60,Q1
11943,0.9224137931034483,0.24426265949579043,90,Q1
15926,0.8866666666666667,0.24432963327637866,259,Q1
15073,0.88687106918239,0.24460568666465468,238,Q1
16129,0.2948717948717948,0.24487263390915456,97,Q1
12881,0.8962686567164179,0.24510048951870675,115,Q1
10535,0.9184782608695652,0.24521621519836245,171,Q1
10638,0.9130434782608695,0.24551309505176544,28,Q1
12951,0.9108058608058609,0.2457210807918527,177,Q1
11619,0.8985555555555556,0.2472877397410277,158,Q1
11173,0.9118055555555556,0.2474033773868295,131,Q1
13637,0.9196369636963697,0.24844400262885039,181,Q1
12050,0.871208075413683,0.24861108810192684,341,Q1
14882,0.42136150234741787,0.24916022604498908,110,Q1
13369,0.9354838709677419,0.24973103811470743,48,Q1
15711,0.6854838709677419,0.24973103811470743,41,Q1
12164,0.9375,0.24999999999999997,19,Q1
13831,0.9375,0.24999999999999997,19,Q1
14479,0.7375,0.24999999999999997,19,Q1
15731,0.9375,0.24999999999999997,20,Q1
12257,0.27083333333333337,0.25,26,Q1
13679,0.875,0.25,6,Q1
14025,0.9375,0.25,19,Q1
14682,0.4041666666666667,0.25,19,Q1
14822,0.4375,0.25,16,Q1
12538,0.8458333333333334,0.25032030762656154,69,Q1
12022,0.8941885964912281,0.25045151721567493,210,Q1
13506,0.5102564102564102,0.2515354115627923,115,Q1
11157,0.7047619047619048,0.25197631533948484,14,Q1
11764,0.4187763713080169,0.25352735328702986,136,Q1
10794,0.9162447257383967,0.2537043881162895,142,Q1
12472,0.9108660130718954,0.2556860900733943,132,Q1
10542,0.9222222222222223,0.2579514542425556,39,Q1
12785,0.9333333333333333,0.2581988897471611,16,Q1
14885,0.9333333333333333,0.2581988897471611,16,Q1
15206,0.9333333333333333,0.2581988897471611,18,Q1
15432,0.9333333333333333,0.2581988897471611,15,Q1
15975,0.9333333333333333,0.2581988897471611,17,Q1
10494,0.9166666666666666,0.2595686547424837,68,Q1
10861,0.8573554421768707,0.2602126672485442,119,Q1
15552,0.6617647058823529,0.2602617631986001,46,Q1
12522,0.8549167634533488,0.26063518307742095,426,Q1
12138,0.9285714285714286,0.26226526415648105,31,Q1
11232,0.9285714285714286,0.2622652641564811,30,Q1
10938,0.8835374149659864,0.262910342225422,139,Q1
13137,0.9149659863945578,0.26379190245428974,64,Q1
10881,0.5367647058823529,0.2642970699354622,24,Q1
10581,0.9259259259259259,0.26435052857271474,66,Q1
10156,0.39987631416202846,0.2643582099602625,170,Q1
12932,0.9166666666666666,0.26533431525261614,34,Q1
15494,0.925,0.26674678283691844,43,Q1
12986,0.925,0.2667467828369185,50,Q1
12782,0.9285714285714286,0.2672612419124244,14,Q1
14075,0.9285714285714286,0.2672612419124244,23,Q1
12832,0.8919944789510007,0.2677234247663365,139,Q1
15616,0.8333333333333333,0.2680951323690902,93,Q1
15871,0.8520291837665298,0.26812309917014043,62,Q1
16553,0.9041666666666667,0.26875287411418086,84,Q1
14836,0.8923280423280423,0.26890567753845207,105,Q1
11278,0.8833333333333334,0.2693300538714994,140,Q1
13228,0.9137931034482759,0.26955537190374723,34,Q1
10699,0.9121212121212121,0.26999189412947733,76,Q1
12270,0.9135802469135803,0.2709999304978715,33,Q1
11786,0.7322568389057751,0.2718826246179869,235,Q1
13331,0.80354713313897,0.27198915594844036,228,Q1
11907,0.8946428571428572,0.2737525820708842,96,Q1
15085,0.9102564102564102,0.2749320040257352,85,Q1
15281,0.8904761904761905,0.27530112848709304,54,Q1
15499,0.8996090973702914,0.27575711043917295,116,Q1
